date,views
2019-01-01,2095
2019-01-02,9889
2019-01-03,2346
2019-01-04,517
2019-01-05,81
2019-01-06,5006
2019-01-07,9490
2019-01-08,1134
2019-01-09,9851
2019-01-10,3147
2019-01-11,568
2019-01-12,3436
2019-01-13,8925
2019-01-14,9291
2019-01-15,750
2019-01-16,5335
2019-01-17,6118
2019-01-18,6330
2019-01-19,5597
2019-01-20,6455
2019-01-21,5408
2019-01-22,8063
2019-01-23,8139
2019-01-24,3693
2019-01-25,4736
2019-01-26,2321
2019-01-27,8224
2019-01-28,2737
2019-01-29,5112
2019-01-30,8425
2019-01-31,4598
2019-02-01,3560
2019-02-02,630
2019-02-03,6512
2019-02-04,7750
2019-02-05,3898
2019-02-06,2918
2019-02-07,8893
2019-02-08,9722
2019-02-09,9853
2019-02-10,1015
2019-02-11,1604
2019-02-12,3406
2019-02-13,1462
2019-02-14,7230
2019-02-15,3932
2019-02-16,6234
2019-02-17,5042
2019-02-18,6758
2019-02-19,8185
2019-02-20,8676
2019-02-21,2760
2019-02-22,1582
2019-02-23,8440
2019-02-24,9787
2019-02-25,643
2019-02-26,4868
2019-02-27,7320
2019-02-28,707
2019-03-01,1208
2019-03-02,8277
2019-03-03,2097
2019-03-04,2464
2019-03-05,9764
2019-03-06,2354
2019-03-07,8148
2019-03-08,4083
2019-03-09,2932
2019-03-10,8348
2019-03-11,7817
2019-03-12,5538
2019-03-13,1398
2019-03-14,2049
2019-03-15,7499
2019-03-16,1631
2019-03-17,3032
2019-03-18,8064
2019-03-19,9143
2019-03-20,2681
2019-03-21,5603
2019-03-22,6031
2019-03-23,9900
2019-03-24,8663
2019-03-25,6675
2019-03-26,7440
2019-03-27,9180
2019-03-28,3751
2019-03-29,2318
2019-03-30,8834
2019-03-31,9153
2019-04-01,7105
2019-04-02,2051
2019-04-03,4948
2019-04-04,8592
2019-04-05,2119
2019-04-06,2975
2019-04-07,4310
2019-04-08,2871
2019-04-09,9858
2019-04-10,4470
2019-04-11,8480
2019-04-12,1160
2019-04-13,5572
2019-04-14,7005
2019-04-15,2348
2019-04-16,5747
2019-04-17,7408
2019-04-18,5988
2019-04-19,2755
2019-04-20,6924
2019-04-21,9679
2019-04-22,6553
2019-04-23,210
2019-04-24,4387
2019-04-25,3643
2019-04-26,7690
2019-04-27,6873
2019-04-28,2770
2019-04-29,8170
2019-04-30,3038
2019-05-01,7428
2019-05-02,4730
2019-05-03,6632
2019-05-04,3568
2019-05-05,663
2019-05-06,4209
2019-05-07,272
2019-05-08,3434
2019-05-09,5088
2019-05-10,7680
2019-05-11,6666
2019-05-12,6819
2019-05-13,3598
2019-05-14,277
2019-05-15,7663
2019-05-16,7322
2019-05-17,9886
2019-05-18,8265
2019-05-19,814
2019-05-20,4988
2019-05-21,3089
2019-05-22,3733
2019-05-23,719
2019-05-24,7939
2019-05-25,151
2019-05-26,3811
2019-05-27,7742
2019-05-28,4983
2019-05-29,7807
2019-05-30,7672
2019-05-31,7517
2019-06-01,3001
2019-06-02,29
2019-06-03,4329
2019-06-04,7323
2019-06-05,1178
2019-06-06,5652
2019-06-07,698
2019-06-08,2213
2019-06-09,9446
2019-06-10,7936
2019-06-11,5508
2019-06-12,9388
2019-06-13,2620
2019-06-14,548
2019-06-15,6643
2019-06-16,357
2019-06-17,2744
2019-06-18,8532
2019-06-19,9437
2019-06-20,2410
2019-06-21,2481
2019-06-22,7480
2019-06-23,8848
2019-06-24,3656
2019-06-25,2435
2019-06-26,6381
2019-06-27,4643
2019-06-28,5848
2019-06-29,6761
2019-06-30,2068
2019-07-01,7612
2019-07-02,2518
2019-07-03,3402
2019-07-04,8035
2019-07-05,3856
2019-07-06,9755
2019-07-07,7637
2019-07-08,4879
2019-07-09,1322
2019-07-10,924
2019-07-11,3785
2019-07-12,7214
2019-07-13,7638
2019-07-14,9524
2019-07-15,5882
2019-07-16,380
2019-07-17,1814
2019-07-18,7125
2019-07-19,1430
2019-07-20,1310
2019-07-21,8502
2019-07-22,7039
2019-07-23,3667
2019-07-24,7260
2019-07-25,7849
2019-07-26,4186
2019-07-27,2431
2019-07-28,8557
2019-07-29,1757
2019-07-30,3202
2019-07-31,1553
2019-08-01,7266
2019-08-02,1626
2019-08-03,982
2019-08-04,9532
2019-08-05,3837
2019-08-06,5480
2019-08-07,6193
2019-08-08,6098
2019-08-09,2872
2019-08-10,534
2019-08-11,6012
2019-08-12,5077
2019-08-13,4516
2019-08-14,4774
2019-08-15,2421
2019-08-16,5565
2019-08-17,1980
2019-08-18,4597
2019-08-19,7084
2019-08-20,7760
2019-08-21,9511
2019-08-22,3016
2019-08-23,8965
2019-08-24,495
2019-08-25,9628
2019-08-26,9696
2019-08-27,7731
2019-08-28,2493
